group	value	gene_id
Targets	-0.023888064	ENSG00000164402
Targets	0.092182936	ENSG00000204256
Targets	0.067659306	ENSG00000130559
Targets	-0.020972379	ENSG00000164181
Targets	-0.020984096	ENSG00000179152
Targets	-0.133128972	ENSG00000086619
Targets	0.364944594	ENSG00000186111
Targets	0.075189737	ENSG00000106948
Targets	-0.094480163	ENSG00000205339
Targets	0.123407202	ENSG00000135503
Targets	-0.006613904	ENSG00000198142
Targets	0.047506919	ENSG00000151025
Targets	0.024983286	ENSG00000113916
Targets	-0.197940795	ENSG00000122042
Targets	0.066290212	ENSG00000148719
Targets	0.044513856	ENSG00000129933
Targets	0.016356886	ENSG00000196743
Targets	-0.045024055	ENSG00000162231
Targets	-0.084644219	ENSG00000091009
Targets	0.028342096	ENSG00000106546
Targets	-0.031526281	ENSG00000108946
Targets	0.248453984	ENSG00000131398
Targets	-0.07348152	ENSG00000166471
Targets	-0.074900905	ENSG00000128595
Targets	-0.150245477	ENSG00000205133
Targets	-0.003341351	ENSG00000206560
Targets	0.003963791	ENSG00000008256
Targets	-0.094352185	ENSG00000170242
Targets	-0.162791425	ENSG00000117868
Targets	-0.013942998	ENSG00000140577
Targets	0.026957181	ENSG00000134287
Targets	-0.189032851	ENSG00000142875
Targets	-0.115604706	ENSG00000171988
Targets	-0.11504572	ENSG00000153214
Targets	-0.089817745	ENSG00000168461
Targets	-0.096707825	ENSG00000170248
Targets	-0.161781255	ENSG00000151553
Targets	0.119415914	ENSG00000095637
Targets	-0.149176464	ENSG00000133657
Targets	-0.075124418	ENSG00000065911
Targets	-0.126072039	ENSG00000137075
Targets	0.203162861	ENSG00000157933
Targets	-0.022124143	ENSG00000198399
Targets	-0.0521328	ENSG00000138594
Targets	-0.049247755	ENSG00000115993
Targets	-0.080010056	ENSG00000067369
Targets	-0.137284702	ENSG00000146530
Targets	0.031316275	ENSG00000011523
Targets	-0.056214802	ENSG00000071054
Targets	-0.038349152	ENSG00000170348
Targets	0.269669789	ENSG00000178951
Targets	0.021532705	ENSG00000107929
Targets	0.290119734	ENSG00000179364
Targets	-0.05294717	ENSG00000158470
Targets	-0.076583571	ENSG00000151458
Targets	0.236311625	ENSG00000114554
Targets	-0.053580544	ENSG00000124151
Targets	-0.006789801	ENSG00000025039
Targets	0.256256464	ENSG00000162367
Targets	-0.058880134	ENSG00000102471
Targets	-0.109446414	ENSG00000180530
Targets	-0.062155994	ENSG00000117020
Targets	-0.149740204	ENSG00000151150
Targets	-0.079143905	ENSG00000137942
Targets	0.03927997	ENSG00000096070
Targets	-0.05067599	ENSG00000187109
Targets	-0.054435525	ENSG00000131023
Targets	-0.072587755	ENSG00000196227
Targets	-0.006440402	ENSG00000170915
Targets	-0.132628926	ENSG00000065613
Targets	-0.069757072	ENSG00000067082
Targets	-0.164653569	ENSG00000121749
Targets	-0.177152298	ENSG00000138448
Targets	0.220043948	ENSG00000147454
Targets	-0.127795378	ENSG00000136536
Targets	0.32644223	ENSG00000162337
Targets	0.176078344	ENSG00000131149
Targets	-0.023421484	ENSG00000138593
Targets	1.97e-05	ENSG00000068305
Targets	0.202228309	ENSG00000204681
Targets	-0.1858694	ENSG00000037749
Targets	-0.11797193	ENSG00000116191
Targets	0.03741332	ENSG00000162512
Targets	-0.185833265	ENSG00000145734
Targets	0.553244569	ENSG00000050820
Targets	-0.200683132	ENSG00000023909
Targets	-0.202611527	ENSG00000178904
Targets	-0.100928252	ENSG00000007168
Targets	0.012798217	ENSG00000183579
Targets	0.321154334	ENSG00000116017
Targets	0.070861359	ENSG00000038532
Targets	-0.110680274	ENSG00000113580
Targets	0.145416438	ENSG00000116604
Targets	-0.087616552	ENSG00000108510
Targets	0.052680663	ENSG00000163293
Targets	-0.116796444	ENSG00000139826
Targets	-0.059094384	ENSG00000105939
Targets	-0.136438554	ENSG00000196776
Targets	-0.123225764	ENSG00000124486
Targets	-0.196460459	ENSG00000173276
Targets	0.072660005	ENSG00000103111
Targets	-0.206401082	ENSG00000110723
Targets	-0.05727103	ENSG00000011201
Targets	-0.108139004	ENSG00000077147
Targets	-0.017097095	ENSG00000163110
Targets	-0.031223663	ENSG00000100697
Targets	-0.02827166	ENSG00000156675
Targets	-0.059676922	ENSG00000029363
Targets	0.04371011	ENSG00000182957
Targets	-0.071165444	ENSG00000197860
Targets	0.038083305	ENSG00000100154
Targets	0.000869787	ENSG00000160218
Targets	0.001480757	ENSG00000186591
Targets	-0.007862413	ENSG00000133985
Targets	-0.000426672	ENSG00000078140
Targets	-0.00303719	ENSG00000151692
Targets	-0.141559968	ENSG00000136603
Targets	-0.063791407	ENSG00000132359
Targets	-0.08339764	ENSG00000080815
Targets	0.032282312	ENSG00000183508
Targets	-0.067407846	ENSG00000134243
Targets	0.036384246	ENSG00000213853
Targets	-0.151360453	ENSG00000114331
Targets	0.013621052	ENSG00000183943
Targets	0.011656435	ENSG00000089057
Targets	0.117476816	ENSG00000101152
Targets	-0.262574575	ENSG00000111860
Targets	-0.093274966	ENSG00000006468
Targets	-0.0296216	ENSG00000127329
Targets	0.169641773	ENSG00000116852
Targets	-0.176167403	ENSG00000179454
Targets	-0.13618594	ENSG00000164938
Targets	0.090701391	ENSG00000109118
Targets	-0.120412604	ENSG00000082258
Targets	0.107666876	ENSG00000132326
Targets	-0.042578266	ENSG00000125827
Targets	0.060421115	ENSG00000025293
Targets	-0.029215289	ENSG00000169641
Targets	-0.129732475	ENSG00000117500
Targets	-0.056403664	ENSG00000163577
Targets	-0.0961401	ENSG00000122779
Targets	0.006163539	ENSG00000148358
Targets	-0.040337027	ENSG00000174437
Targets	-0.070233373	ENSG00000166900
Targets	-0.096550184	ENSG00000108582
Targets	-0.12722707	ENSG00000153936
Targets	0.08502087	ENSG00000165633
Targets	-0.05857194	ENSG00000118217
Targets	-0.054370614	ENSG00000071537
Targets	-0.173037329	ENSG00000048471
Targets	-0.09115635	ENSG00000122068
Targets	-0.058610747	ENSG00000152127
Targets	-0.245772518	ENSG00000113742
Targets	-0.003217883	ENSG00000187605
Targets	-0.103214914	ENSG00000149289
Targets	-0.155234401	ENSG00000147852
Targets	-0.07229436	ENSG00000123575
Targets	-0.060398728	ENSG00000100596
Targets	-0.071034258	ENSG00000109133
Targets	-0.090975852	ENSG00000135968
Targets	-0.095448555	ENSG00000164327
Targets	-0.111698519	ENSG00000105926
Targets	-0.111687016	ENSG00000205189
Targets	-0.065706834	ENSG00000088179
Targets	-0.09550697	ENSG00000169359
Targets	-0.181940048	ENSG00000149212
Targets	-0.043813563	ENSG00000124209
Targets	-0.124362223	ENSG00000083312
Targets	-0.035403481	ENSG00000143970
Targets	-0.135290649	ENSG00000128585
Targets	-0.131436479	ENSG00000160551
Targets	-0.139369297	ENSG00000078177
Targets	-0.062259287	ENSG00000151422
Targets	-0.081159965	ENSG00000118922
Targets	-0.094180186	ENSG00000105810
Targets	-0.122775771	ENSG00000106460
Targets	0.027660804	ENSG00000100354
Targets	-0.112965502	ENSG00000055609
Targets	-0.147594618	ENSG00000079950
Background	0.258395107	ENSG00000115919
Background	0.084960152	ENSG00000115539
Background	0.063898947	ENSG00000155363
Background	-0.08082054	ENSG00000171421
Background	-0.072811176	ENSG00000136891
Background	-0.025885381	ENSG00000164961
Background	0.166344683	ENSG00000105618
Background	0.068039366	ENSG00000105409
Background	0.08327461	ENSG00000104859
Background	-0.019383429	ENSG00000159403
Background	0.098803322	ENSG00000171307
Background	0.283854143	ENSG00000168528
Background	0.164190239	ENSG00000105397
Background	0.009258394	ENSG00000171960
Background	0.234013752	ENSG00000100147
Background	-0.080037969	ENSG00000170310
Background	0.083337619	ENSG00000198960
Background	-0.01596665	ENSG00000183763
Background	0.01564997	ENSG00000108786
Background	0.006843417	ENSG00000142676
Background	0.090280842	ENSG00000139832
Background	-0.003196693	ENSG00000179409
Background	0.07003531	ENSG00000204301
Background	0.009215816	ENSG00000137656
Background	0.107908382	ENSG00000143569
Background	0.190319238	ENSG00000167632
Background	0.024049541	ENSG00000175792
Background	0.217675284	ENSG00000198467
Background	0.29954735	ENSG00000243279
Background	0.472109137	ENSG00000182272
Background	-0.144595225	ENSG00000178386
Background	-0.074021415	ENSG00000102384
Background	-0.018848491	ENSG00000128463
Background	0.366990935	ENSG00000166682
Background	-0.837833608	ENSG00000183486
Background	0.202485035	ENSG00000142910
Background	-0.079720073	ENSG00000135502
Background	-0.088048557	ENSG00000126953
Background	-0.031603186	ENSG00000100294
Background	0.020307405	ENSG00000010219
Background	-0.091664594	ENSG00000141499
Background	-0.144805649	ENSG00000213889
Background	0.100725972	ENSG00000167670
Background	0.019228624	ENSG00000092094
Background	0.159662364	ENSG00000181039
Background	0.156664205	ENSG00000162542
Background	0.051210447	ENSG00000156795
Background	0.24676727	ENSG00000169696
Background	-0.049173149	ENSG00000070759
Background	-0.034672335	ENSG00000148120
Background	0.121653519	ENSG00000172183
Background	0.121401892	ENSG00000147255
Background	0.491464584	ENSG00000197363
Background	-0.108723831	ENSG00000198157
Background	-0.03363502	ENSG00000083223
Background	-0.085213743	ENSG00000183647
Background	0.030760527	ENSG00000182518
Background	0.052218254	ENSG00000188690
Background	-0.011886785	ENSG00000160688
Background	-0.142500738	ENSG00000162129
Background	-0.026150596	ENSG00000151445
Background	0.219564481	ENSG00000011478
Background	0.242392221	ENSG00000145014
Background	-0.213452503	ENSG00000185272
Background	0.187744458	ENSG00000130305
Background	0.002918197	ENSG00000249709
Background	0.257637403	ENSG00000158717
Background	-0.034638423	ENSG00000154328
Background	-0.059718028	ENSG00000119723
Background	0.012738006	ENSG00000105953
Background	-0.030203446	ENSG00000168818
Background	0.099286493	ENSG00000088836
Background	0.007245044	ENSG00000173914
Background	0.236279276	ENSG00000212734
Background	0.005681107	ENSG00000241360
Background	-0.002832499	ENSG00000133313
Background	1.158679748	ENSG00000175463
Background	0.138682063	ENSG00000138111
Background	-0.310024182	ENSG00000168918
Background	0.326012013	ENSG00000129749
Background	-0.095080741	ENSG00000053770
Background	-0.119409836	ENSG00000119509
Background	0.075852626	ENSG00000155849
Background	-0.092224239	ENSG00000128335
Background	-0.043342163	ENSG00000005801
Background	-0.135426133	ENSG00000147996
Background	0.308440428	ENSG00000131584
