"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"44940"	"0.293"	"0.0107512"	"-1.28705488"	""
"9824"	"0.293"	"0.0107554"	"0.73031391"	""
"39877"	"0.293"	"0.0107565"	"0.62995641"	"BCL2L15"
"29781"	"0.293"	"0.0107836"	"-1.22286955"	""
"7733"	"0.293"	"0.0107987"	"0.56619913"	"DZANK1"
"39473"	"0.293"	"0.0108315"	"0.72606615"	""
"41418"	"0.293"	"0.0108324"	"-0.52739094"	"ERLIN2"
"3217"	"0.293"	"0.0108603"	"-0.7275508"	"SNRK"
"8986"	"0.293"	"0.0108785"	"-0.55873683"	""
"25247"	"0.293"	"0.0108894"	"-1.38774513"	""
"19603"	"0.293"	"0.0109282"	"-1.11070833"	"DMRTB1"
"29975"	"0.293"	"0.0109345"	"-1.05775932"	"ZNF792"
"22487"	"0.293"	"0.0109651"	"-1.10169105"	""
"24779"	"0.293"	"0.0110211"	"0.74517847"	""
"33919"	"0.293"	"0.011067"	"0.81941174"	"LINC00896"
"13775"	"0.293"	"0.0111078"	"-0.59183796"	"ZNF711"
"17843"	"0.293"	"0.0111149"	"0.85863267"	"CRYGC"
"19553"	"0.293"	"0.0111644"	"-1.24169558"	"TTTY22"
"5190"	"0.293"	"0.011172"	"0.57385823"	"ADCY7"
"34965"	"0.293"	"0.0111978"	"0.91682187"	""
"11210"	"0.293"	"0.0112091"	"-0.52785224"	"NOS1"
"40138"	"0.293"	"0.0112162"	"-0.5755489"	"NPAS3"
"25789"	"0.293"	"0.0112406"	"-0.8323943"	"SYNPO2"
"28151"	"0.293"	"0.011325"	"-1.42087272"	"ZKSCAN7"
"35315"	"0.293"	"0.0113386"	"0.73073387"	"POLH"
"36364"	"0.293"	"0.0113536"	"0.56727397"	"MPDZ"
"4002"	"0.293"	"0.0113669"	"-1.06212203"	""
"34268"	"0.293"	"0.0113913"	"-0.62130839"	""
"11997"	"0.293"	"0.0114204"	"0.91790978"	"MCEMP1"
"44262"	"0.293"	"0.0114218"	"-0.55460989"	"PLCG2"
"8087"	"0.293"	"0.0114929"	"-0.59715953"	""
"19182"	"0.293"	"0.0115531"	"0.6682631"	"SLC8A2"
"11886"	"0.293"	"0.0115827"	"0.94316383"	""
"43966"	"0.293"	"0.011598"	"-0.48156242"	"HLA-DPB1"
"10785"	"0.293"	"0.0116704"	"-0.55070203"	"PSIP1"
"29256"	"0.293"	"0.0116751"	"-0.58580846"	"ADCY1"
"44576"	"0.293"	"0.0116792"	"-0.5088032"	""
"1458"	"0.293"	"0.0117249"	"-0.54913325"	"ZNF454"
"44033"	"0.293"	"0.0117573"	"-0.58277489"	""
"36372"	"0.293"	"0.0117927"	"0.49224755"	""
"13700"	"0.293"	"0.0118235"	"1.28355291"	"ZFR2"
"27472"	"0.293"	"0.011832"	"1.16260458"	"PALM3"
"21778"	"0.293"	"0.0118485"	"-0.56698471"	""
"43878"	"0.293"	"0.0119156"	"-0.67748177"	""
"32334"	"0.293"	"0.0119615"	"-0.89713955"	""
"3147"	"0.293"	"0.0119632"	"-0.86730555"	""
"36177"	"0.293"	"0.0119975"	"-0.84629234"	"SPACA1"
"340"	"0.293"	"0.0120215"	"-1.27553145"	""
