"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0016809"	"0.50052903"	"2.70e-01"	"-2.0733401"	"LOC100505663"
"PH_hs_0047095"	"0.45707994"	"2.32e-01"	"-0.2820872"	"KLHDC10"
"PH_hs_0007815"	"0.45710494"	"2.32e-01"	"-0.3023131"	"DMRTB1"
"PH_hs_0015155"	"0.45710494"	"2.32e-01"	"0.3528032"	"previous version conserved probe"
"PH_hs_0042321"	"0.45713964"	"2.32e-01"	"-0.3196532"	"OR1I1"
"PH_hs_0028500"	"0.45715929"	"2.32e-01"	"-0.4577745"	"previous version conserved probe"
"PH_hs_0001830"	"0.4572397"	"2.32e-01"	"-0.3367794"	"RPH3A"
"PH_hs_0003392"	"0.4572397"	"2.32e-01"	"-0.2557089"	"previous version conserved probe"
"PH_hs_0010459"	"0.45730871"	"2.32e-01"	"-0.3519472"	"previous version conserved probe"
"PH_hs_0023985"	"0.45734136"	"2.32e-01"	"0.2934521"	"C10orf137"
"PH_hs_0045382"	"0.45734136"	"2.32e-01"	"-0.3448024"	"TAPBP"
"PH_hs_0013461"	"0.45735619"	"2.32e-01"	"-0.2164067"	"previous version conserved probe"
"PH_hs_0030974"	"0.45745206"	"2.32e-01"	"-0.2939861"	"ZNF92"
"PH_hs_0010404"	"0.45749853"	"2.32e-01"	"-0.4415619"	"SERPINF1"
"PH_hs_0027460"	"0.45775233"	"2.32e-01"	"-0.5565522"	"previous version conserved probe"
"PH_hs_0016643"	"0.63863357"	"4.08e-01"	"0.3203692"	"MTHFSD"
"PH_hs_0013395"	"0.45790723"	"2.33e-01"	"-0.2910382"	"ASTE1"
"PH_hs_0043128"	"0.45792449"	"2.33e-01"	"0.3013078"	"EIF3I"
"PH_hs_0042874"	"0.45792449"	"2.33e-01"	"-0.2458547"	"CENPW"
"PH_hs_0012260"	"0.45799185"	"2.33e-01"	"0.2805206"	"previous version conserved probe"
"PH_hs_0038944"	"0.45814708"	"2.33e-01"	"-0.3472416"	"previous version conserved probe"
"PH_hs_0004729"	"0.45814708"	"2.33e-01"	"0.2327129"	"MADD"
"PH_hs_0004205"	"0.45814708"	"2.33e-01"	"0.4581585"	"WDR12"
"PH_hs_0002159"	"0.4582171"	"2.33e-01"	"-0.5428305"	"EFS"
"PH_hs_0047763"	"0.458235"	"2.33e-01"	"-0.490017"	"TRIM46"
"PH_hs_0035139"	"0.458235"	"2.33e-01"	"-0.2397974"	"RPL21|RPL21P28"
"PH_hs_0012849"	"0.458235"	"2.33e-01"	"0.2164274"	"WRNIP1"
"PH_hs_0042992"	"0.458235"	"2.33e-01"	"-0.3571872"	"previous version conserved probe"
"PH_hs_0013314"	"0.458235"	"2.33e-01"	"0.5466215"	"C12orf68"
"PH_hs_0026399"	"0.45841255"	"2.33e-01"	"-0.2225633"	"WSB2"
"PH_hs_0028721"	"0.45858148"	"2.33e-01"	"0.2979827"	"LRRN3"
"PH_hs_0061125"	"0.45858148"	"2.33e-01"	"-0.363478"	""
"PH_hs_0033474"	"0.45858148"	"2.33e-01"	"-0.2508174"	"SMTNL2"
"PH_hs_0047890"	"0.45865454"	"2.33e-01"	"-0.2712188"	"ZBTB47"
"PH_hs_0005717"	"0.45875157"	"2.33e-01"	"0.3410167"	"MAP1B"
"PH_hs_0000193"	"0.4587994"	"2.33e-01"	"0.2960801"	"F11"
"PH_hs_0025636"	"0.45884995"	"2.33e-01"	"0.3343888"	"GLB1L3"
"PH_hs_0047817"	"0.45885998"	"2.33e-01"	"-0.2725872"	"CLDN2"
"PH_hs_0060088"	"0.45885998"	"2.33e-01"	"0.3095201"	"CXorf40A"
"PH_hs_0037624"	"0.45885998"	"2.33e-01"	"-0.5771679"	""
"PH_hs_0048345"	"0.45893318"	"2.33e-01"	"-0.5066617"	"GPR150"
"PH_hs_0032760"	"0.45896159"	"2.33e-01"	"-0.533407"	"IL33"
"PH_hs_0042017"	"0.45905087"	"2.34e-01"	"0.2897241"	"DNASE1"
"PH_hs_0023706"	"0.45907056"	"2.34e-01"	"-0.2355928"	"ARFGEF2"
"PH_hs_0049370"	"0.45907361"	"2.34e-01"	"0.2161052"	"IGSF11"
"PH_hs_0044336"	"0.45913958"	"2.34e-01"	"-0.2696"	"MBTD1"
"PH_hs_0028581"	"0.4592263"	"2.34e-01"	"0.3221832"	"PDE4DIP|LOC101060291"
"PH_hs_0041152"	"0.45934203"	"2.34e-01"	"-0.4555809"	"FBXW11"
"PH_hs_0061326"	"0.45934203"	"2.34e-01"	"-0.3222255"	"RAB11A"
"PH_hs_0005074"	"0.45936312"	"2.34e-01"	"-0.5061313"	"C1orf54"
"PH_hs_0043746"	"0.4593699"	"2.34e-01"	"-0.2292283"	"ELK1"
"PH_hs_0010582"	"0.45942196"	"2.34e-01"	"-0.2655013"	"ACE2"
"PH_hs_0060954"	"0.45942827"	"2.34e-01"	"-0.3223095"	""
"PH_hs_0034172"	"0.45942827"	"2.34e-01"	"0.2113021"	"PGAM4|PGAM1"
"PH_hs_0043883"	"0.45953733"	"2.34e-01"	"-0.2787631"	"RELA"
"PH_hs_0049633"	"0.45969362"	"2.34e-01"	"0.3135426"	"TUBA3D|TUBA3E|TUBA3C"
"PH_hs_0034291"	"0.45969362"	"2.34e-01"	"-0.4948949"	""
"PH_hs_0042672"	"0.45969362"	"2.34e-01"	"-0.2129636"	"CCR8"
"PH_hs_0040555"	"0.45978078"	"2.34e-01"	"-0.2770384"	"ZNF860"
"PH_hs_0031733"	"0.45991122"	"2.34e-01"	"-0.4229061"	"ZNF880"
"PH_hs_0033056"	"0.45998267"	"2.34e-01"	"-0.289006"	"SPATA21"
"PH_hs_0015373"	"0.46007982"	"2.34e-01"	"-0.2586899"	"LHFPL1"
"PH_hs_0020036"	"0.46011311"	"2.34e-01"	"-0.2800474"	"COMMD2"
"PH_hs_0027522"	"0.46011311"	"2.34e-01"	"0.7950712"	"DCK"
"PH_hs_0031017"	"0.46011311"	"2.34e-01"	"-0.3305482"	"BIN2"
"PH_hs_0000695"	"0.46012879"	"2.34e-01"	"-0.3140528"	"LPPR2"
"PH_hs_0037853"	"0.4602581"	"2.34e-01"	"-0.2848617"	"ZNF555"
"PH_hs_0046302"	"0.46030368"	"2.35e-01"	"-0.2485571"	"APOBEC3F"
"PH_hs_0048583"	"0.46031595"	"2.35e-01"	"-0.2595528"	"ARSB"
"PH_hs_0061776"	"0.46031595"	"2.35e-01"	"-0.5629171"	"ACVR1"
"PH_hs_0060213"	"0.46031595"	"2.35e-01"	"0.5332882"	"LOC100509378"
"PH_hs_0010161"	"0.46042627"	"2.35e-01"	"-0.2459452"	"BMP7"
"PH_hs_0042105"	"0.46042627"	"2.35e-01"	"-0.2428042"	"PLEKHO1"
"PH_hs_0027362"	"0.46043122"	"2.35e-01"	"0.2416342"	"BRCC3"
"PH_hs_0017535"	"0.46046287"	"2.35e-01"	"-0.2482941"	"FAM46D"
"PH_hs_0002133"	"0.46046287"	"2.35e-01"	"-0.3765133"	"VAMP7"
"PH_hs_0024968"	"0.46046287"	"2.35e-01"	"-0.2490114"	"MYH7B"
"PH_hs_0035957"	"0.46046287"	"2.35e-01"	"0.3807091"	"ERCC6L2"
"PH_hs_0005864"	"0.46046287"	"2.35e-01"	"0.2567564"	"NPDC1"
"PH_hs_0028271"	"0.46046287"	"2.35e-01"	"-0.2753727"	"FSIP2"
"PH_hs_0042720"	"0.46063426"	"2.35e-01"	"-0.3944805"	"OR2T11"
"PH_hs_0029442"	"0.4606571"	"2.35e-01"	"-0.7197102"	"CCDC129"
"PH_hs_0018140"	"0.46067239"	"2.35e-01"	"-0.2730549"	"PA2G4"
"PH_hs_0026672"	"0.46074377"	"2.35e-01"	"-0.3602478"	"ACSL1"
"PH_hs_0028104"	"0.46081796"	"2.35e-01"	"0.3297407"	"previous version conserved probe"
"PH_hs_0034732"	"0.4608935"	"2.35e-01"	"-0.5096487"	"FLJ35816"
"PH_hs_0040194"	"0.46089809"	"2.35e-01"	"-0.3213351"	"previous version conserved probe"
"PH_hs_0002383"	"0.46102593"	"2.35e-01"	"-0.2166139"	"RASSF1"
"PH_hs_0015014"	"0.46113022"	"2.35e-01"	"-0.2250222"	"TMEM8A"
"PH_hs_0024485"	"0.4611931"	"2.35e-01"	"-0.4629805"	"RECK"
"PH_hs_0003748"	"0.4611931"	"2.35e-01"	"-0.304653"	"ADAMTS5"
"PH_hs_0021933"	"0.46122494"	"2.35e-01"	"0.2978551"	"ERBB2"
"PH_hs_0035288"	"0.46125247"	"2.35e-01"	"0.2194367"	"previous version conserved probe"
"PH_hs_0018359"	"0.46125247"	"2.35e-01"	"-0.2321666"	"previous version conserved probe"
"PH_hs_0014051"	"0.46128355"	"2.35e-01"	"-0.2553311"	"LINC00309"
"PH_hs_0024437"	"0.46128355"	"2.35e-01"	"-0.2560226"	"TNFSF10"
"PH_hs_0025869"	"0.46138093"	"2.36e-01"	"0.2946326"	"FAM13A"
"PH_hs_0003745"	"0.46140454"	"2.36e-01"	"-1.3006916"	"PIWIL4"
"PH_hs_0006956"	"0.46141856"	"2.36e-01"	"0.2590427"	"EPHA3"
"PH_hs_0025289"	"0.46141856"	"2.36e-01"	"-0.3127036"	"MFN1"
"PH_hs_0031004"	"0.46141856"	"2.36e-01"	"-0.3789581"	"PARL"
"PH_hs_0003440"	"0.46141856"	"2.36e-01"	"-0.2507943"	"REG1A"
"PH_hs_0042797"	"0.46141856"	"2.36e-01"	"0.3794978"	"OR6N2"
"PH_hs_0022178"	"0.46150171"	"2.36e-01"	"-0.2851254"	"TPO"
"PH_hs_0043326"	"0.46172118"	"2.36e-01"	"0.2879526"	"AOAH"
"PH_hs_0027723"	"0.46173871"	"2.36e-01"	"-0.3871213"	"ATP7B"
"PH_hs_0027473"	"0.46180448"	"2.36e-01"	"-0.2310906"	"SYT15"
"PH_hs_0017673"	"0.46185981"	"2.36e-01"	"-0.216258"	"AMER3"
"PH_hs_0061902"	"0.46191761"	"2.36e-01"	"0.5937879"	"ELF3"
"PH_hs_0035420"	"0.46202002"	"2.36e-01"	"0.4096134"	"TRAF3IP1"
"PH_hs_0016878"	"0.46202002"	"2.36e-01"	"-0.2327885"	"IRF2BP2"
"PH_hs_0020167"	"0.46202002"	"2.36e-01"	"-0.2252644"	"TFAP2D"
"PH_hs_0038014"	"0.46202002"	"2.36e-01"	"-0.2702693"	"previous version conserved probe"
"PH_hs_0027840"	"0.46230134"	"2.36e-01"	"-0.2324351"	"previous version conserved probe"
"PH_hs_0022210"	"0.46230134"	"2.36e-01"	"-0.2766009"	"TAS2R14"
"PH_hs_0005013"	"0.46230134"	"2.36e-01"	"-0.2786879"	"IL2"
"PH_hs_0003357"	"0.46230134"	"2.36e-01"	"-0.504117"	"ZMYND15"
"PH_hs_0038500"	"0.46230134"	"2.36e-01"	"0.3229013"	""
"PH_hs_0046224"	"0.46230134"	"2.36e-01"	"-0.2578236"	"SPECC1"
"PH_hs_0046826"	"0.46230134"	"2.36e-01"	"-0.3431848"	""
"PH_hs_0017281"	"0.46237662"	"2.36e-01"	"-0.2413149"	"RAB7A"
"PH_hs_0042163"	"0.46237662"	"2.36e-01"	"-0.2309306"	"WFIKKN1"
"PH_hs_0025509"	"0.46241423"	"2.36e-01"	"0.5277476"	"POLE"
"PH_hs_0044862"	"0.46241423"	"2.36e-01"	"-0.3766288"	"RNASE12"
"PH_hs_0025376"	"0.46242269"	"2.36e-01"	"0.5187043"	"ANKMY1"
"PH_hs_0043010"	"0.46242269"	"2.36e-01"	"-0.4605349"	"previous version conserved probe"
"PH_hs_0061347"	"0.46242269"	"2.36e-01"	"-0.3644368"	"RBMS2"
"PH_hs_0028084"	"0.46242269"	"2.37e-01"	"0.5444734"	"PCYOX1"
"PH_hs_0042548"	"0.46242269"	"2.37e-01"	"-0.4065616"	"MURC"
"PH_hs_0002879"	"0.46242269"	"2.37e-01"	"-0.3663348"	"HERC3"
"PH_hs_0046329"	"0.46242269"	"2.37e-01"	"0.4047216"	"CCDC153"
"PH_hs_0062227"	"0.46261435"	"2.37e-01"	"-0.3056794"	"OBP2B|OBP2A"
"PH_hs_0046151"	"0.46261435"	"2.37e-01"	"-0.3605425"	"AZI2"
"PH_hs_0035721"	"0.46261435"	"2.37e-01"	"0.2909492"	"THRAP3"
"PH_hs_0012309"	"0.46261435"	"2.37e-01"	"-0.379581"	"TNFRSF18"
"PH_hs_0019248"	"0.46261435"	"2.37e-01"	"-0.4054801"	"GPR37"
"PH_hs_0034848"	"0.46281661"	"2.37e-01"	"-0.3280689"	"OMG"
"PH_hs_0043929"	"0.46339479"	"2.37e-01"	"-0.2379681"	"SHOX"
"PH_hs_0002754"	"0.46348694"	"2.37e-01"	"-0.2227615"	"SLC39A5"
"PH_hs_0048246"	"0.46360116"	"2.37e-01"	"-0.4376071"	"SPNS2"
"PH_hs_0013171"	"0.46360116"	"2.37e-01"	"-0.4965394"	"TECTA"
"PH_hs_0061204"	"0.46360116"	"2.37e-01"	"-0.5752379"	"GRIA1"
"PH_hs_0019786"	"0.46360116"	"2.37e-01"	"0.2660474"	"CDC34"
"PH_hs_0061422"	"0.46360116"	"2.37e-01"	"-0.5473256"	"MR1"
"PH_hs_0031326"	"0.46360116"	"2.37e-01"	"-0.2535918"	"PNRC1"
"PH_hs_0048710"	"0.46360116"	"2.37e-01"	"-0.234496"	"LPCAT2"
"PH_hs_0024659"	"0.46360116"	"2.37e-01"	"-0.2294275"	"PIWIL1"
"PH_hs_0032567"	"0.46360116"	"2.37e-01"	"0.228453"	"DENND1A"
"PH_hs_0002840"	"0.46360116"	"2.37e-01"	"-0.3581202"	"CERK"
"PH_hs_0045774"	"0.46379922"	"2.38e-01"	"-0.2904334"	"MAGEA8"
"PH_hs_0034714"	"0.46379922"	"2.38e-01"	"0.4318575"	"previous version conserved probe"
"PH_hs_0014609"	"0.46389268"	"2.38e-01"	"0.2395416"	"SDR39U1"
"PH_hs_0061041"	"0.46389268"	"2.38e-01"	"0.3140779"	"ZFX"
"PH_hs_0019737"	"0.46389268"	"2.38e-01"	"-0.2609504"	"STX5"
"PH_hs_0034201"	"0.46389268"	"2.38e-01"	"0.2589359"	"BTBD11"
"PH_hs_0032481"	"0.4639015"	"2.38e-01"	"-0.4477413"	"CASS4"
"PH_hs_0033604"	"0.4639015"	"2.38e-01"	"0.3213175"	""
"PH_hs_0034623"	"0.4639015"	"2.38e-01"	"-0.2520327"	"SLC26A5"
"PH_hs_0012648"	"0.46397873"	"2.38e-01"	"-0.2724063"	"POU2F3"
