"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"222592_s_at"	"1"	"0.016599"	"6.21e-01"	"ACSL5"
"202773_s_at"	"1"	"0.016694"	"6.28e-01"	"SFSWAP"
"237464_at"	"1"	"0.016705"	"6.28e-01"	"LOC101060386///BOLA2///SMG1"
"232264_at"	"1"	"0.016721"	"7.26e-01"	""
"203908_at"	"1"	"0.016838"	"1.03"	"SLC4A4"
"237145_at"	"1"	"0.016845"	"6.58e-01"	"EIF2AK4"
"228670_at"	"1"	"0.016873"	"6.61e-01"	"TEP1"
"242963_at"	"1"	"0.016882"	"6.17e-01"	"SGMS2"
"220494_s_at"	"1"	"0.016914"	"7.19e-01"	""
"211494_s_at"	"1"	"0.016989"	"6.16e-01"	"SLC4A4"
"237607_at"	"1"	"0.017002"	"-6.28e-01"	""
"222309_at"	"1"	"0.017025"	"6.96e-01"	"C6orf62"
"205580_s_at"	"1"	"0.017027"	"8.00e-01"	"HRH1"
"217497_at"	"1"	"0.017033"	"7.03e-01"	"TYMP"
"214284_s_at"	"1"	"0.017056"	"-6.15e-01"	"FGF18"
"213664_at"	"1"	"0.017225"	"6.75e-01"	"SLC1A1"
"230735_at"	"1"	"0.017351"	"6.19e-01"	""
"212105_s_at"	"1"	"0.017389"	"6.85e-01"	"DHX9"
"234182_at"	"1"	"0.017412"	"6.12e-01"	""
"206132_at"	"1"	"0.017441"	"6.10e-01"	"MCC"
"231235_at"	"1"	"0.017442"	"6.31e-01"	"NKTR"
"214990_at"	"1"	"0.017449"	"-6.38e-01"	"PIGO"
"225899_x_at"	"1"	"0.01757"	"6.15e-01"	"LOC101929819///LOC100133331///LOC100133182///LINC01001///LOC100132062///LOC729737///LINC01000///LINC01002"
"232978_at"	"1"	"0.017574"	"7.01e-01"	""
"236408_at"	"1"	"0.017623"	"7.36e-01"	""
"226185_at"	"1"	"0.017652"	"-6.55e-01"	"CDS1"
"235353_at"	"1"	"0.017725"	"6.09e-01"	"SEL1L3"
"204863_s_at"	"1"	"0.017738"	"6.14e-01"	"IL6ST"
"241837_at"	"1"	"0.017744"	"6.33e-01"	""
"235952_at"	"1"	"0.017818"	"6.82e-01"	"DGKH"
"226239_at"	"1"	"0.017916"	"6.07e-01"	"TMEM150A"
"AFFX-r2-Bs-lys-3_at"	"1"	"0.017967"	"6.96e-01"	""
"206932_at"	"1"	"0.01809"	"7.08e-01"	"CH25H"
"235048_at"	"1"	"0.01815"	"6.13e-01"	"FAM169A"
"238705_at"	"1"	"0.018185"	"6.05e-01"	""
"216173_at"	"1"	"0.018235"	"6.08e-01"	""
"240499_at"	"1"	"0.018258"	"1.19"	""
"229011_at"	"1"	"0.018653"	"6.65e-01"	"EMP1"
"223571_at"	"1"	"0.018719"	"-6.01e-01"	"C1QTNF6"
"241252_at"	"1"	"0.018732"	"7.19e-01"	"ESCO2"
"207345_at"	"1"	"0.018757"	"1.06"	"FST"
"210203_at"	"1"	"0.018817"	"6.21e-01"	"CNOT4"
"202674_s_at"	"1"	"0.018864"	"6.69e-01"	"LMO7"
"242172_at"	"1"	"0.01889"	"5.95e-01"	""
"239825_at"	"1"	"0.01893"	"5.95e-01"	""
"231067_s_at"	"1"	"0.01896"	"6.81e-01"	"AKAP12"
"238706_at"	"1"	"0.019011"	"5.97e-01"	"PAPD4"
"215653_at"	"1"	"0.019014"	"1.02"	""
"240419_at"	"1"	"0.019045"	"6.56e-01"	"SLC6A15"
"243555_at"	"1"	"0.019086"	"6.00e-01"	""
"226925_at"	"1"	"0.019106"	"6.22e-01"	"PXYLP1"
"232138_at"	"1"	"0.019141"	"7.27e-01"	"MBNL2"
"229346_at"	"1"	"0.019166"	"1.02"	"NES"
"204595_s_at"	"1"	"0.019222"	"5.93e-01"	"STC1"
"238444_at"	"1"	"0.019268"	"5.97e-01"	"ZNF618"
"243179_at"	"1"	"0.019298"	"6.11e-01"	"LOC101928433"
"236338_at"	"1"	"0.019327"	"6.28e-01"	""
"205809_s_at"	"1"	"0.019329"	"5.92e-01"	"WASL"
"205132_at"	"1"	"0.019337"	"-8.83e-01"	"ACTC1"
"203239_s_at"	"1"	"0.019338"	"6.80e-01"	"CNOT3"
"225438_at"	"1"	"0.019507"	"7.47e-01"	"NUDCD1"
"225524_at"	"1"	"0.01979"	"7.58e-01"	"ANTXR2"
"242008_at"	"1"	"0.019936"	"6.99e-01"	""
"1557543_at"	"1"	"0.019939"	"6.84e-01"	""
"205466_s_at"	"1"	"0.019972"	"1.55"	"HS3ST1"
"219926_at"	"1"	"0.020037"	"5.84e-01"	"POPDC3"
"240089_at"	"1"	"0.02008"	"-6.46e-01"	""
"1553973_a_at"	"1"	"0.0202"	"1.23"	"SPINK6"
"230608_at"	"1"	"0.020278"	"-5.88e-01"	"TSACC"
"244031_at"	"1"	"0.020345"	"6.06e-01"	""
"1556806_at"	"1"	"0.020353"	"7.55e-01"	""
"231396_s_at"	"1"	"0.020387"	"5.83e-01"	"FAM126A"
"206832_s_at"	"1"	"0.020427"	"8.35e-01"	"SEMA3F"
"215078_at"	"1"	"0.020455"	"5.95e-01"	"LOC100129518///SOD2"
"209152_s_at"	"1"	"0.020581"	"6.33e-01"	"TCF3"
"243375_at"	"1"	"0.020837"	"8.74e-01"	""
"201082_s_at"	"1"	"0.020865"	"5.76e-01"	"SLC4A5///DCTN1"
"209136_s_at"	"1"	"0.020979"	"6.49e-01"	"USP10"
"212107_s_at"	"1"	"0.021011"	"1.46"	"DHX9"
"230866_at"	"1"	"0.021072"	"1.45"	"CYSLTR1"
"205399_at"	"1"	"0.021158"	"1.36"	"DCLK1"
"239901_at"	"1"	"0.021258"	"7.59e-01"	""
"1556493_a_at"	"1"	"0.021332"	"5.72e-01"	"KDM4C"
"207101_at"	"1"	"0.021375"	"-5.85e-01"	"VAMP1"
"218303_x_at"	"1"	"0.021438"	"-8.98e-01"	"KRCC1"
"231880_at"	"1"	"0.021454"	"9.12e-01"	"STRIP2"
"242594_at"	"1"	"0.021496"	"5.71e-01"	"BOD1L1"
"240854_x_at"	"1"	"0.021608"	"-9.56e-01"	""
"241017_at"	"1"	"0.021659"	"6.09e-01"	"TBC1D8///RPL31"
"219878_s_at"	"1"	"0.021666"	"6.58e-01"	"KLF13"
"1561017_at"	"1"	"0.021732"	"6.75e-01"	""
"239519_at"	"1"	"0.021793"	"7.74e-01"	""
"237813_at"	"1"	"0.021842"	"1.14"	"PCBP2"
"1569925_at"	"1"	"0.021866"	"5.71e-01"	"DNAH17-AS1"
"224335_s_at"	"1"	"0.021871"	"5.70e-01"	"BACE1"
"243403_x_at"	"1"	"0.021887"	"5.83e-01"	"CPM"
"232372_at"	"1"	"0.021931"	"5.67e-01"	""
"239439_at"	"1"	"0.022044"	"6.72e-01"	"AFF4"
"224104_at"	"1"	"0.022061"	"6.75e-01"	""
"232584_at"	"1"	"0.022112"	"6.48e-01"	""
"235179_at"	"1"	"0.022131"	"5.65e-01"	"ZNF641"
"214374_s_at"	"1"	"0.022182"	"9.34e-01"	"PPFIBP1"
"205035_at"	"1"	"0.022322"	"-5.82e-01"	"CTDP1"
"231149_s_at"	"1"	"0.022326"	"5.69e-01"	"ULK4"
"211355_x_at"	"1"	"0.022426"	"5.81e-01"	"LEPROT///LEPR"
"228325_at"	"1"	"0.022519"	"-5.85e-01"	"SPIDR"
"215455_at"	"1"	"0.022525"	"5.64e-01"	"TIMELESS"
"232270_at"	"1"	"0.022536"	"7.15e-01"	"C9orf3"
"224563_at"	"1"	"0.022616"	"6.76e-01"	"WASF2"
"201538_s_at"	"1"	"0.022617"	"6.43e-01"	"DUSP3"
"1567997_x_at"	"1"	"0.022681"	"5.61e-01"	""
"242218_at"	"1"	"0.022705"	"5.90e-01"	"PPARD"
"232376_at"	"1"	"0.022719"	"5.61e-01"	"PCCA"
"1559723_s_at"	"1"	"0.022783"	"5.77e-01"	"C9orf3"
"235019_at"	"1"	"0.022835"	"6.07e-01"	"CPM"
"220272_at"	"1"	"0.022981"	"6.35e-01"	"BNC2"
"219636_s_at"	"1"	"0.022993"	"5.74e-01"	"ARMC9"
"212240_s_at"	"1"	"0.023003"	"8.22e-01"	"PIK3R1"
"238131_at"	"1"	"0.023004"	"6.24e-01"	"PHC2"
"241387_at"	"1"	"0.023057"	"5.60e-01"	""
"1553034_at"	"1"	"0.023089"	"5.61e-01"	"SDCCAG8"
"233694_at"	"1"	"0.023163"	"-6.52e-01"	"HSPA1L"
"1555441_at"	"1"	"0.023173"	"5.76e-01"	"UBA6"
"232997_at"	"1"	"0.023191"	"6.41e-01"	""
"219393_s_at"	"1"	"0.023262"	"-5.65e-01"	"AKT3"
"AFFX-r2-Bs-lys-M_at"	"1"	"0.023279"	"1.02"	""
"225530_at"	"1"	"0.023365"	"5.57e-01"	"MOB3A"
"210123_s_at"	"1"	"0.023381"	"8.16e-01"	"LOC101930361///LOC101929970///CHRFAM7A///CHRNA7"
"236273_at"	"1"	"0.023385"	"6.10e-01"	"NBPF1"
"221496_s_at"	"1"	"0.023528"	"5.56e-01"	"TOB2"
"230808_at"	"1"	"0.023547"	"5.57e-01"	"FNTA"
"217581_at"	"1"	"0.023569"	"5.54e-01"	""
"240957_at"	"1"	"0.023632"	"5.54e-01"	""
"218012_at"	"1"	"0.023714"	"-6.33e-01"	"TSPYL2"
"1556978_a_at"	"1"	"0.023768"	"5.63e-01"	"TAF8"
"237346_at"	"1"	"0.023799"	"5.72e-01"	"TGDS"
"202888_s_at"	"1"	"0.023808"	"7.25e-01"	"ANPEP"
"244154_at"	"1"	"0.023838"	"5.57e-01"	"DDHD1"
"1557278_s_at"	"1"	"0.023853"	"8.19e-01"	"TNPO1"
"208621_s_at"	"1"	"0.023907"	"6.52e-01"	"EZR"
"204909_at"	"1"	"0.024067"	"6.79e-01"	"DDX6"
"1562163_at"	"1"	"0.02409"	"5.91e-01"	""
"239022_at"	"1"	"0.024108"	"6.38e-01"	""
"213821_s_at"	"1"	"0.024134"	"5.80e-01"	"IDS"
"207387_s_at"	"1"	"0.02421"	"5.96e-01"	"GK"
"238580_at"	"1"	"0.024448"	"5.62e-01"	""
"219996_at"	"1"	"0.024513"	"5.78e-01"	"ASB7"
"203642_s_at"	"1"	"0.024533"	"5.71e-01"	"COBLL1"
"1564820_at"	"1"	"0.024598"	"5.78e-01"	""
"215429_s_at"	"1"	"0.024692"	"-5.87e-01"	"ZNF428"
"AFFX-r2-Bs-phe-5_at"	"1"	"0.024693"	"7.44e-01"	""
"231849_at"	"1"	"0.024795"	"8.84e-01"	"KRT80"
"1559307_s_at"	"1"	"0.024815"	"5.44e-01"	"RBL1"
"212632_at"	"1"	"0.024829"	"5.98e-01"	"STX7"
"219986_s_at"	"1"	"0.024857"	"-5.78e-01"	"ACAD10"
"243664_at"	"1"	"0.024889"	"5.48e-01"	"TXNL1"
"231116_at"	"1"	"0.024893"	"5.44e-01"	""
"237716_at"	"1"	"0.024899"	"5.62e-01"	""
"244473_at"	"1"	"0.024908"	"5.98e-01"	""
"1556492_a_at"	"1"	"0.024913"	"5.69e-01"	"PIAS2"
"229398_at"	"1"	"0.02496"	"5.53e-01"	"RAB18"
"210943_s_at"	"1"	"0.024986"	"5.52e-01"	"LYST"
"207210_at"	"1"	"0.025019"	"5.49e-01"	"GABRA3"
"229413_s_at"	"1"	"0.025035"	"6.19e-01"	"PCGF3"
"209019_s_at"	"1"	"0.025065"	"6.43e-01"	"PINK1"
"219221_at"	"1"	"0.025091"	"5.59e-01"	"ZBTB38"
"229800_at"	"1"	"0.025095"	"6.25e-01"	"DCLK1"
"1553750_a_at"	"1"	"0.025136"	"6.18e-01"	"FAM76B"
"1553292_s_at"	"1"	"0.025145"	"5.78e-01"	"SGK494"
"240988_x_at"	"1"	"0.025233"	"-5.44e-01"	""
"1559003_a_at"	"1"	"0.025345"	"5.56e-01"	"CCDC163"
