"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"7923698"	"1"	"0.0116712"	"9.15e-01"	""
"7894708"	"1"	"0.0117102"	"-7.97e-01"	""
"7893724"	"1"	"0.0117664"	"-7.78e-01"	""
"8104758"	"1"	"0.0119595"	"-1.34"	"NPR3"
"7980096"	"1"	"0.0119764"	"-7.08e-01"	"ALDH6A1"
"7917516"	"1"	"0.0120555"	"8.13e-01"	"GBP1P1///GBP3///GBP1"
"7895443"	"1"	"0.0121213"	"-8.64e-01"	""
"7894504"	"1"	"0.0121703"	"-6.89e-01"	""
"7965335"	"1"	"0.0121729"	"5.72e-01"	"DUSP6"
"7919151"	"1"	"0.012219"	"8.96e-01"	"RNVU1-1"
"7919392"	"1"	"0.012219"	"8.96e-01"	"RNVU1-1"
"7895775"	"1"	"0.0122291"	"6.67e-01"	""
"8093150"	"1"	"0.0122456"	"6.15e-01"	""
"7895889"	"1"	"0.0122905"	"-7.75e-01"	""
"7968970"	"1"	"0.0123104"	"-6.46e-01"	""
"7995275"	"1"	"0.0123168"	"6.00e-01"	"LOC102723655///TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3"
"7893971"	"1"	"0.0125109"	"-6.37e-01"	""
"7914212"	"1"	"0.0125546"	"6.42e-01"	"SNORA61///SNHG12"
"7918026"	"1"	"0.0125578"	"-6.12e-01"	"EXTL2"
"7893049"	"1"	"0.0126616"	"-9.13e-01"	""
"8093950"	"1"	"0.0126628"	"5.68e-01"	"S100P"
"7894377"	"1"	"0.0127668"	"7.07e-01"	""
"8063536"	"1"	"0.0127912"	"5.75e-01"	"TFAP2C"
"7893776"	"1"	"0.0128632"	"7.58e-01"	""
"7895401"	"1"	"0.0128876"	"-7.44e-01"	""
"7959312"	"1"	"0.012958"	"-8.75e-01"	"TMEM120B"
"7984686"	"1"	"0.0129706"	"-6.44e-01"	"BBS4"
"7896572"	"1"	"0.0129884"	"9.76e-01"	""
"8095736"	"1"	"0.0130025"	"6.13e-01"	"AREG"
"7987981"	"1"	"0.0130354"	"-5.75e-01"	"UBR1"
"8047257"	"1"	"0.013047"	"-5.90e-01"	"SATB2-AS1"
"7909142"	"1"	"0.0130579"	"-5.98e-01"	"NUCKS1"
"8025053"	"1"	"0.0131362"	"6.31e-01"	"TNFSF9"
"7893795"	"1"	"0.0131618"	"-5.88e-01"	""
"7894960"	"1"	"0.0132084"	"6.25e-01"	""
"8151605"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151613"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151617"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151621"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151625"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8041000"	"1"	"0.0132285"	"-5.76e-01"	"GPN1"
"7893629"	"1"	"0.0133129"	"-6.75e-01"	""
"7895383"	"1"	"0.0133926"	"-8.05e-01"	""
"8015590"	"1"	"0.0134709"	"-5.53e-01"	"STAT5B"
"8071155"	"1"	"0.0135287"	"1.14"	"USP18"
"7895029"	"1"	"0.0135611"	"-1.40"	""
"8130173"	"1"	"0.0135736"	"7.34e-01"	"RAET1L"
"8110055"	"1"	"0.0135898"	"-6.89e-01"	"CPEB4"
"7892784"	"1"	"0.0136978"	"1.04"	""
"7949482"	"1"	"0.0137113"	"-5.66e-01"	"RNASEH2C"
"7896202"	"1"	"0.0137308"	"1.04"	""
"8020973"	"1"	"0.0138166"	"-5.48e-01"	"FHOD3"
"8105409"	"1"	"0.013914"	"6.78e-01"	""
"7948418"	"1"	"0.0139296"	"5.85e-01"	"OR10V1"
"7896529"	"1"	"0.0139385"	"-7.60e-01"	""
"7894141"	"1"	"0.0139402"	"9.33e-01"	""
"7894732"	"1"	"0.0139663"	"-5.90e-01"	""
"8107798"	"1"	"0.0139859"	"-7.47e-01"	"SLC27A6"
"8090433"	"1"	"0.0140423"	"-6.18e-01"	"MGLL"
"7912515"	"1"	"0.0141331"	"-6.01e-01"	"NPPA"
"8064928"	"1"	"0.0141696"	"-1.15"	"HAO1"
"8043443"	"1"	"0.0142336"	"6.35e-01"	""
"8037642"	"1"	"0.014349"	"-7.50e-01"	"SNRPD2"
"7924092"	"1"	"0.0143635"	"7.90e-01"	"SLC30A1"
"7893985"	"1"	"0.0144228"	"-1.39"	""
"7994074"	"1"	"0.0144506"	"5.54e-01"	"SCNN1B"
"8077376"	"1"	"0.0144585"	"-6.69e-01"	"ITPR1"
"8135585"	"1"	"0.0144834"	"7.64e-01"	""
"7892845"	"1"	"0.0145193"	"6.91e-01"	""
"7893707"	"1"	"0.0146279"	"8.38e-01"	""
"8161884"	"1"	"0.0146351"	"-5.80e-01"	"PRUNE2"
"8026047"	"1"	"0.0146402"	"9.13e-01"	"JUNB"
"7892758"	"1"	"0.0146804"	"-8.56e-01"	""
"7893446"	"1"	"0.0147727"	"-6.98e-01"	""
"7894253"	"1"	"0.0147947"	"5.55e-01"	""
"7894091"	"1"	"0.014808"	"-1.06"	""
"7956747"	"1"	"0.014877"	"-7.52e-01"	""
"8115122"	"1"	"0.014906"	"5.86e-01"	"CAMK2A"
"7983661"	"1"	"0.0149893"	"-9.97e-01"	""
"8103544"	"1"	"0.0151027"	"5.65e-01"	"SPOCK3"
"7895480"	"1"	"0.0153567"	"1.09"	""
"7925918"	"1"	"0.0153966"	"8.01e-01"	"AKR1C1"
"7899882"	"1"	"0.0154492"	"-5.74e-01"	""
"8073214"	"1"	"0.0154553"	"-5.42e-01"	"TNRC6B"
"7892628"	"1"	"0.0155353"	"5.92e-01"	""
"8138789"	"1"	"0.0155489"	"5.53e-01"	"JAZF1"
"8127507"	"1"	"0.0156875"	"6.19e-01"	""
"7892914"	"1"	"0.0157259"	"7.10e-01"	""
"7907847"	"1"	"0.0158481"	"-5.35e-01"	"LOC100506242"
"8066210"	"1"	"0.0158609"	"7.93e-01"	""
"7995829"	"1"	"0.0158617"	"6.90e-01"	"MT1H"
"8028607"	"1"	"0.0159471"	"5.45e-01"	"IFNL2"
"8026587"	"1"	"0.0160497"	"-8.49e-01"	"NWD1"
"7899517"	"1"	"0.0161436"	"-5.35e-01"	""
"8023561"	"1"	"0.0161974"	"-6.74e-01"	"LMAN1"
"7982082"	"1"	"0.0162028"	"-5.25e-01"	"SNORD115-38"
"7894384"	"1"	"0.016299"	"6.25e-01"	""
"8067125"	"1"	"0.0164617"	"-6.79e-01"	"BCAS1"
"8076025"	"1"	"0.0164751"	"-5.46e-01"	"PLA2G6"
"8118824"	"1"	"0.01662"	"-5.47e-01"	""
"7896307"	"1"	"0.0166571"	"-9.72e-01"	""
"7964460"	"1"	"0.0167655"	"8.48e-01"	"DDIT3"
"7982591"	"1"	"0.0168056"	"5.52e-01"	""
"7895210"	"1"	"0.0168245"	"5.57e-01"	""
"7892991"	"1"	"0.0168455"	"6.46e-01"	""
"7990457"	"1"	"0.0169734"	"-5.82e-01"	"MAN2C1"
"8095697"	"1"	"0.0170533"	"6.77e-01"	"CXCL1"
"7904361"	"1"	"0.0170974"	"8.53e-01"	"FAM46C"
"7896093"	"1"	"0.0172673"	"-1.33"	""
"7895021"	"1"	"0.0173027"	"6.71e-01"	""
"7896264"	"1"	"0.0173306"	"-6.60e-01"	""
"7995787"	"1"	"0.0173854"	"5.84e-01"	"MT1M"
"8049237"	"1"	"0.0176199"	"9.14e-01"	""
"8106761"	"1"	"0.0176275"	"-5.28e-01"	""
"8112014"	"1"	"0.0176386"	"6.90e-01"	""
"7896255"	"1"	"0.0176661"	"9.72e-01"	""
"7992861"	"1"	"0.0177685"	"6.85e-01"	""
"7893461"	"1"	"0.0177774"	"9.35e-01"	""
"7896399"	"1"	"0.0178923"	"-6.48e-01"	""
"7972826"	"1"	"0.017918"	"-8.55e-01"	"LINC00346"
"8131631"	"1"	"0.0180771"	"5.33e-01"	"HDAC9"
"7921621"	"1"	"0.0180776"	"-6.74e-01"	""
"7894616"	"1"	"0.0181414"	"-1.75"	""
"7903854"	"1"	"0.0181473"	"-8.55e-01"	"SLC6A17"
"7893496"	"1"	"0.0181648"	"-5.74e-01"	""
"8067836"	"1"	"0.0182545"	"6.40e-01"	"LINC00314"
"8031035"	"1"	"0.0182649"	"6.02e-01"	"MIR516B1"
